Time R1 R2 R3 R4 R5
18.95 901 1263 1967 1069 374
18.96 911 1289 1957 1070 381
18.96 929 1288 1950 1080 375
18.97 919 1294 1960 1080 377
18.98 919 1305 1948 1087 377
18.98 947 1286 1943 1107 377
18.99 939 1288 1951 1099 379
19 952 1286 1946 1080 376
19 923 1274 1924 1087 370
19.01 928 1283 1926 1089 370
19.02 937 1289 1933 1087 370
19.02 928 1284 1934 1083 381
19.03 911 1267 1929 1085 378
19.04 907 1270 1940 1093 382
19.04 922 1272 1947 1100 377
19.05 934 1289 1945 1092 380
19.06 925 1297 1948 1065 387
19.06 926 1299 1965 1062 392
19.07 934 1303 1942 1063 390
19.08 936 1312 1935 1067 394
19.08 929 1300 1936 1078 391
19.09 930 1309 1934 1078 391
19.1 911 1318 1938 1085 396
19.1 900 1314 1938 1091 401
19.11 900 1284 1939 1077 402
19.12 916 1287 1935 1069 405
19.12 910 1283 1939 1080 412
19.13 900 1279 1926 1090 417
19.14 903 1282 1935 1100 420
19.14 909 1287 1929 1088 419
19.15 927 1288 1931 1082 414
19.16 905 1301 1930 1090 402
19.16 899 1290 1939 1087 397
19.17 925 1277 1950 1086 408
19.18 921 1277 1958 1079 407
19.18 917 1274 1951 1069 401
19.19 915 1269 1964 1062 402
19.19 909 1266 1957 1057 405
19.2 898 1267 1964 1052 403
19.21 911 1279 1962 1048 404
19.21 908 1278 1960 1054 404
19.22 916 1288 1960 1055 403
19.23 907 1288 1959 1060 402
19.23 902 1295 1972 1068 407
19.24 881 1293 1974 1059 409
19.25 878 1302 1981 1029 412
19.25 874 1318 1999 1022 407
19.26 884 1315 1991 1030 416
19.27 866 1311 2003 1037 419
19.27 868 1311 2013 1035 425
19.28 883 1307 2004 1028 416
19.29 882 1314 2002 1010 412
19.29 901 1297 1993 1010 417
19.3 897 1292 1994 1009 410
19.31 911 1298 1999 1016 402
19.31 894 1297 1992 1016 401
19.32 902 1289 1999 1017 393
19.33 908 1256 2004 1017 405
19.33 902 1265 2013 1020 402
19.34 897 1257 2006 1029 395
19.35 896 1267 1984 1041 398
19.35 906 1244 1984 1046 394
19.36 909 1255 1990 1049 395
19.37 911 1247 1979 1037 394
19.37 912 1241 1973 1042 396
19.38 913 1253 1972 1039 403
19.39 941 1252 1951 1038 402
19.39 921 1237 1942 1025 393
19.4 931 1243 1945 1024 393
19.41 934 1257 1966 1014 395
19.41 930 1246 1970 1006 396
19.42 920 1250 1971 1008 399
19.43 894 1261 1984 1025 406
19.43 897 1262 1980 1030 409
19.44 896 1251 1985 1026 412
19.45 911 1250 1994 1026 423
19.45 928 1239 1990 1027 426
19.46 926 1240 1997 1021 426
19.47 929 1256 2005 1020 428
19.47 926 1254 1999 1019 428
19.48 944 1251 2002 1024 425
19.49 944 1238 1997 1031 430
19.49 950 1238 1993 1035 428
19.5 933 1218 1998 1027 428
19.51 939 1227 1995 1042 431
19.51 951 1243 2001 1048 427
19.52 953 1234 1995 1048 432
19.53 931 1235 1988 1042 422
19.53 935 1239 1988 1043 423
19.54 950 1244 1988 1056 416
19.55 958 1231 1964 1067 420
19.55 953 1234 1964 1062 413
19.56 968 1238 1971 1054 413
19.57 954 1224 1959 1057 414
19.57 920 1232 1958 1052 412
19.58 948 1242 1953 1035 410
19.59 950 1207 1957 1022 414
19.59 973 1196 1943 1021 413
19.6 940 1186 1948 1018 414
19.61 917 1174 1955 1008 412
19.61 904 1187 1977 1002 400
19.62 896 1189 1965 997 401
19.63 897 1192 1959 1002 396
19.63 897 1189 1958 998 396
19.64 914 1180 1947 1005 398
19.65 928 1182 1959 1019 400
19.65 931 1190 1944 1020 395
19.66 948 1184 1963 1034 393
19.66 962 1192 1975 1043 392
19.67 967 1179 1964 1040 396
19.68 954 1183 1960 1053 396
19.68 928 1185 1959 1055 401
19.69 926 1184 1961 1057 406
19.7 931 1179 1966 1056 404
19.7 922 1192 1970 1061 407
19.71 929 1202 1962 1066 403
19.72 910 1202 1964 1076 394
19.72 911 1198 1964 1080 387
19.73 926 1209 1962 1066 385
19.74 950 1218 1962 1067 383
19.74 963 1220 1968 1071 388
19.75 937 1205 1970 1057 399
19.76 950 1210 1962 1051 395
19.77 947 1214 1963 1049 397
19.77 952 1226 1964 1062 394
19.78 982 1229 1971 1052 390
19.78 971 1238 1961 1048 396
19.79 968 1236 1968 1050 398
19.8 971 1236 1977 1052 400
19.81 967 1211 1987 1063 404
19.81 961 1226 1991 1067 401
19.82 959 1227 2000 1059 401
19.82 947 1220 1996 1063 398
19.83 933 1219 1999 1060 391
19.84 943 1203 2009 1052 391
19.85 943 1202 2014 1048 383
19.85 935 1207 1994 1055 385
19.86 938 1208 1987 1055 388
19.87 965 1215 1980 1061 383
19.87 985 1232 1983 1057 383
19.88 991 1227 1968 1061 387
19.88 962 1230 1968 1057 387
19.89 966 1245 1969 1072 386
19.9 972 1251 1964 1066 383
19.9 977 1248 1981 1083 377
19.91 981 1239 1974 1090 378
19.92 944 1227 1979 1088 386
19.92 952 1224 1981 1084 385
19.93 932 1220 1960 1092 384
19.94 939 1218 1963 1108 374
19.94 954 1242 1967 1111 378
19.95 954 1244 1964 1100 372
19.96 967 1234 1959 1091 377
19.96 956 1253 1969 1072 372
19.97 925 1240 1989 1081 379
19.98 911 1248 1999 1085 383
19.98 911 1237 1993 1073 384
19.99 923 1223 1992 1061 383
20 955 1217 1984 1056 390
20 9735 1216 1984 1061 394
20 9430 1227 1984 1063 396
20.01 9178 1227 1995 1063 397
20.01 8999 1226 1986 1059 402
20.01 8850 1224 1986 1065 401
20.01 8685 1247 1993 1064 403
20.02 8528 1264 1993 1061 406
20.02 8412 1269 1993 1053 401
20.02 8366 1283 1993 1064 408
20.03 8271 1287 1989 1058 409
20.03 8207 1298 1993 1057 405
20.03 8142 1313 1982 1058 403
20.04 8093 1320 1980 1048 399
20.04 8066 1338 1983 1050 393
20.04 8017 1349 1977 1055 400
20.04 7979 1364 1972 1059 398
20.05 7974 1369 1975 1062 400
20.05 7968 1401 1972 1054 401
20.05 7950 1423 1967 1055 397
20.06 7962 1437 1972 1060 397
20.06 7933 1441 1963 1058 401
20.06 7901 1452 1968 1061 400
20.07 7871 1467 1958 1070 402
20.07 7846 1478 1974 1073 403
20.07 7806 1492 1975 1078 405
20.08 7799 1500 1977 1069 405
20.08 7797 1527 1979 1063 408
20.08 7764 1545 1983 1065 405
20.09 7748 1540 1987 1069 402
20.09 7732 1549 1981 1068 406
20.09 7707 1573 1990 1058 406
20.1 7700 1592 1988 1054 402
20.1 7698 1592 1993 1059 404
20.1 7667 1600 1986 1059 404
20.1 7660 1619 1988 1052 403
20.11 7652 1606 1998 1044 402
20.11 7682 1622 1993 1040 405
20.11 7679 1633 1994 1030 396
20.12 7674 1628 1995 1023 396
20.12 7670 1624 2007 1024 399
20.12 7660 1636 2007 1028 401
20.13 7614 1649 1995 1024 400
20.13 7601 1658 1987 1036 394
20.13 7558 1679 1996 1037 396
20.14 7523 1685 1996 1037 397
20.14 7532 1681 1991 1046 396
20.14 7517 1689 1989 1049 396
20.15 7499 1705 1992 1045 395
20.15 7495 1719 2003 1038 399
20.15 7489 1731 1996 1043 397
20.16 7466 1750 1987 1041 386
20.16 7446 1760 1978 1038 388
20.16 7441 1768 1985 1049 389
20.17 7427 1776 1990 1046 391
20.17 7392 1785 1987 1043 385
